runner,vus_max,requests,req_failed_rate,duration_avg,duration_p50,duration_p90,duration_p95,duration_p99,cache_hit_rate,cache_response_avg,db_response_avg,db_response_p95
1,7,1561,0,62.74369799999998,,268.571174,284.491535,,1,27.25291288774005,294.89115230917884,316.4482476
2,7,1559,0,66.3774077113534,,279.8330828,289.9995131,,1,31.994444858192498,302.71686449494933,315.04180614999996
3,7,1464,0,99.0887982459017,,260.4657484,273.46712879999995,,1,70.1847521610102,284.9843636751268,300.29725759999997
4,7,1613,0,48.47559562058281,,208.3785226,222.17104599999996,,1,22.341779662865285,223.07437556666676,244.6713033
5,7,1631,0,50.31490114224402,,208.155311,218.638983,,1,23.43286719474061,219.16767687500013,238.22973405
6,7,1497,0,69.70651974883094,,279.3423298,293.000859,,1,32.94090676362237,316.6425698505155,339.51987510000004
7,7,1533,0,66.1486418486628,,250.7032552,264.8841492,,1,32.759543514437745,268.6373672304147,296.080623
8,7,1498,0,65.81521687249668,,271.55556269999994,286.59611864999994,,1,30.139390496165632,305.6156168453608,329.28994454999986
9,7,1532,0,69.80834655287205,,217.8732869,227.76832455000002,,1,45.477229910794634,233.7361728181817,260.17093379999994
10,7,1541,0,64.81904735431536,,258.495191,278.402286,,1,31.220800826966222,282.555256645631,303.78403449999996
11,7,1537,0,68.987937754717,,276.9830758,292.01688479999996,,1,33.62868749925037,301.3487251477831,319.3711198
12,7,1602,0,49.352549951310735,,204.400404,215.82313139999988,,1,24.432816250000034,222.06357560396043,251.5793478
13,7,1552,0,56.21348543621142,,248.9268584,263.7634994,,1,23.226620693907893,271.74901914077674,291.71960075
14,7,1558,0,60.76334249037231,,256.046496,276.27819009999996,,1,32.67803104052105,281.2968676250001,304.4348245
15,7,1551,0,56.3944372849774,,243.168091,259.311327,,1,24.424311176602103,261.6762996650718,288.4091784
16,7,1576,0,49.42540344796959,,204.614886,216.74276275,,1,22.92379196696036,218.0945382009345,243.74714479999997
17,7,1590,0,45.571231381761,,206.1163879,218.77465825,,1,20.074440185211742,225.86072446192895,245.0562732
18,7,1592,0,52.99982922424614,,249.850572,264.20469045,,1,20.590848383116928,271.05248672815543,303.058331
19,7,1535,0,64.6573333908795,,259.8699084,280.2421726,,1,30.746345476586182,277.44476466350704,311.7990535
20,7,1519,0,62.57551514614875,,214.5816224,229.06331709999998,,1,40.25265382602233,235.1286673045977,256.7322158
AVERAGE (n=20/20),7.00,1552.05,0.00,61.51,0.00,243.40,257.78,0.00,1.00,31.04,264.89,287.97
TOTAL,,31041,,,,,,,,,,